ln_ing_lab,lngasfam,nucleo,age_squared,sch,niv_edu_g_Secundaria completa,niv_edu_g_Secundaria incompleta,niv_edu_g_Superior completa,niv_edu_g_Superior incompleta,pobreza_pobre extremo,pobreza_pobre no extremo,jefe_Yes,urban_urbano,ramactsec_Sector Secundario,ramactsec_Sector Terciario,male_Mujer
7.403923988342285,7.851554870605469,1,1681,14,False,False,True,False,False,False,True,True,False,True,False
7.017356872558594,7.851554870605469,1,1849,11,True,False,False,False,False,False,False,True,False,True,True
7.372170448303223,8.493579864501953,1,3721,11,True,False,False,False,False,False,True,True,False,True,False
7.340456962585449,8.493579864501953,1,3364,16,False,False,True,False,False,False,False,True,False,True,True
6.327639102935791,8.493579864501953,1,1600,11,True,False,False,False,False,False,False,True,False,True,False
6.20909309387207,8.493579864501953,2,1521,11,True,False,False,False,False,False,True,True,True,False,False
5.49168872833252,8.493579864501953,2,529,12,False,False,False,True,False,False,False,True,False,True,False
7.841623783111572,8.493579864501953,3,1225,14,False,False,True,False,False,False,True,True,False,True,False
6.815365791320801,8.493579864501953,3,1156,12,False,False,False,True,False,False,False,True,False,True,True
6.45859956741333,7.358636379241943,1,2401,3,False,False,False,False,False,False,True,True,False,True,False
6.686588764190674,7.358636379241943,1,1600,11,True,False,False,False,False,False,False,True,True,False,True
7.346923828125,8.08499526977539,1,1369,17,False,False,True,False,False,False,True,True,False,True,False
7.822711944580078,8.08499526977539,1,1600,17,False,False,True,False,False,False,False,True,False,True,True
7.89850378036499,8.391697883605957,1,1369,13,False,False,False,True,False,False,True,True,False,True,False
6.584445953369141,7.679845809936523,1,2500,11,True,False,False,False,False,False,True,True,False,True,True
6.985795974731445,7.679845809936523,1,441,14,False,False,True,False,False,False,False,True,False,True,False
7.73656177520752,7.683476448059082,1,2025,14,False,False,True,False,False,False,True,True,False,False,False
7.277881145477295,7.683476448059082,1,1936,16,False,False,True,False,False,False,False,True,False,True,True
6.644440650939941,8.49627685546875,1,2704,11,True,False,False,False,False,False,True,True,False,True,False
7.620460033416748,8.49627685546875,1,2116,17,False,False,True,False,False,False,False,True,False,True,True
8.024589538574219,8.49627685546875,1,625,12,False,False,False,True,False,False,False,True,False,True,False
6.58479118347168,7.74349308013916,1,3136,12,False,False,False,True,False,False,True,True,False,True,False
6.986951351165771,8.516185760498047,1,1849,11,True,False,False,False,False,False,True,True,False,True,False
4.709673881530762,8.516185760498047,1,1849,11,True,False,False,False,False,False,False,True,False,True,True
6.657261848449707,8.516185760498047,1,324,11,True,False,False,False,False,False,False,True,False,True,False
7.01817798614502,7.8866868019104,1,2916,11,True,False,False,False,False,False,True,True,False,True,True
7.862208366394043,7.8866868019104,1,625,16,False,False,True,False,False,False,False,True,False,False,False
6.644440650939941,7.683476448059082,1,3249,16,False,False,True,False,False,False,True,True,False,True,False
7.357502937316895,7.683476448059082,1,3249,18,False,False,True,False,False,False,False,True,False,True,True
7.311886310577393,7.683476448059082,1,676,16,False,False,True,False,False,False,False,True,False,True,True
6.91439962387085,7.683476448059082,1,576,15,False,False,False,True,False,False,False,True,False,True,True
7.20346736907959,8.467607498168945,1,1849,11,True,False,False,False,False,False,True,True,False,True,True
7.251345157623291,8.467607498168945,1,1764,11,True,False,False,False,False,False,False,True,False,True,False
7.389461040496826,8.467607498168945,1,400,13,False,False,False,True,False,False,False,True,False,True,True
7.139594078063965,7.943709850311279,1,1024,13,False,False,False,True,False,False,True,True,False,True,True
6.876522541046143,7.943709850311279,1,961,14,False,False,True,False,False,False,False,True,False,True,False
6.799829959869385,8.18053913116455,1,3136,11,True,False,False,False,False,False,True,True,False,False,False
6.200509071350098,8.18053913116455,1,2209,11,True,False,False,False,False,False,False,True,False,True,True
7.307984352111816,8.18053913116455,1,676,14,False,False,True,False,False,False,False,True,False,True,True
7.577847003936768,7.408007144927979,1,1369,7,False,True,False,False,False,False,True,True,False,True,False
6.064172744750977,7.812675476074219,1,3136,7,False,True,False,False,False,False,False,True,False,True,True
7.313553810119629,7.812675476074219,2,841,12,False,False,False,True,False,False,True,True,False,True,True
7.32212495803833,8.392971992492676,1,3481,5,False,False,False,False,False,False,True,True,False,True,False
7.361110687255859,8.392971992492676,1,2304,9,False,True,False,False,False,False,False,True,False,True,True
7.443127155303955,8.392971992492676,1,625,12,False,False,False,True,False,False,False,True,True,False,False
6.476074695587158,8.392971992492676,1,529,15,False,False,False,True,False,False,False,True,False,True,True
6.644440650939941,7.418349266052246,0,2116,12,False,False,False,True,False,False,True,True,True,False,False
